Title,Url,Npub,Desc,Source,Date,大分類,小分類,技術・プラットフォーム,Picture,Featured
random mdn docs bot,,npub1fuffhzfv7xdrm5htde4mp9e5n6ywn763cq6mzxtetyqvsg66kkasp9zzyz,MDN のサイトからランダムのページを一定時間間隔でNostrにポスト,https://github.com/TsukemonoGit/mdn_test,Apr.2024,Bot,自動投稿Bot,"Nostr, Python, GitHub Actions",,
React Reference Bot,,npub1cktfz62n0gf098mq7c4np4g35s6ex42p30ae5ar8d2w32zd24kdqa3j6m7,reactのreferenceからランダムでポストするbot,,Apr.2024,Bot,自動投稿Bot,"Nostr, Python, GitHub Actions",,
fofo,,npub1m054537ssdkqx84va8cv9tankxeestqxk8v95gdvxpwj7n69fslqx4wn3w,アルフォートを食べすぎてしまうのを防止するために、食べた個数を10分毎にチェックしてNostrに投稿するBot\nロードセル（5 kg）+ HX711 \nカゴは余ってたエコクラフトで手作り。ボタンとLEDと7セグメントLEDもつけてみた,https://github.com/TsukemonoGit/fofo-weight,Apr.2024,Bot,自動投稿Bot,"Nostr, Python, Raspberry Pi, IoT",,
NIPs Check Bot,,npub17sysrj0cgny7jtplj50dtzmjng49sxw0st6eqsparpjc0gft07squxl7m4,NIPs のOpenなプルリクエストの中からランダムで二時間に一回Nostrに投稿する\nNIPsの中からランダムで二時間に一回Nostrに投稿する,https://github.com/TsukemonoGit/nipschecker,Mar.2025,Bot,自動投稿Bot,"Nostr, Python",,
じほうちゃん,,npub1slszekg4rjlknw3qy69z5s3h45hnnlrrrjt9tr3ffjsqtpj8wsfqfgh8l7,これが一番早いと思います。\nアイコンはマウス書き,https://github.com/TsukemonoGit/jihou-chan,Feb.2023,Bot,自動投稿Bot,"Nostr, Python",,
Nostr,,npub1sjcvg64knxkrt6ev52rywzu9uzqakgy8ehhk8yezxmpewsthst6sw3jqcw,mono,,,アカウント,,,,
weather-bot,,npub18q5txwfpfj99xvajg9xfq6xdzryjjfq27rphhjtnhe74en0fqggs3gfyst,今日の日本の天気BOT\n本システムは、Open-Meteo APIから取得した時系列気象データを、気象庁の運用基準（「のち」「時々」「一時」）に基づいて解析・可視化するSVG合成モジュールです。\n日本地図データもAffinityかなんかで自分でつくりました。,https://github.com/TsukemonoGit/weather-bot,Jan.2026,Bot,自動投稿Bot,Nostr,,
"Hello Nostr, Yo Bluesky 3\n未来を担う分散型SNS",https://books.428lab.net/book/004/,,技術書典17 もののツールたち\nNostrで作ったいろいろなツールについての記事を書きました。,,Nov.2024,記事・出版物,記事,Nostr,,
Enjoy 分散型SNS\nメタクソ化の特効薬は分散型だけ！,https://books.428lab.net/book/005/,,技術書典18\nNostrで助成金もらった話 申請編\nNostrで助成金もらった話 税務署編\nNostrアドベントカレンダーで書いていた記事を書典用に加筆修正しました。,,May.2025,記事・出版物,記事,Nostr,,
Bluesky,https://bsky.app/profile/mono.bsky.social,,mono,,,アカウント,,,,
DualColumn-Calendar,https://dualcolumn-calendar.vercel.app/,,あの日あの場所でみたカレンダーに思いを馳せて。記憶で再現してみました。\n日本の祝日に対応したA4横向き・2ヶ月分割カレンダー生成ツール。印刷後に中央で裁断してA5縦サイズとして使用する設計です。,https://github.com/TsukemonoGit/DualColumn-Calendar,Jan.2026,アプリケーション,カレンダー,,,
Nostr Note Duplicater,https://dupstr.vercel.app/,,Nostr上のあるリレーに存在するノートを別のリレーに複製（ブロードキャスト）するアプリ,https://github.com/TsukemonoGit/dupstr,Aug.2023,アプリケーション,Webアプリ,"Nostr, SolidJS, TypeScript, Vercel",,
Github,https://github.com/TsukemonoGit,,tsukemonoGit,,,アカウント,,,,
AndroidSKK[Fork],https://github.com/TsukemonoGit/AndroidSKK/releases,,変換履歴とユーザー辞書の分離 絵文字・記号ピッカーの追加 等,https://github.com/TsukemonoGit/AndroidSKK,Apr.2026,アプリケーション,Androidアプリ,Kotlin,,
@konemono/nostr-login [Fork:nostr-login],https://github.com/TsukemonoGit/nostr-login/releases,,整備されなくなった本家nostr-loginの不具合の修正、nsecログインなどの新規機能の追加,https://github.com/TsukemonoGit/nostr-login,Mar.2026,ライブラリ・コンポーネント,ライブラリ,"Nostr, TypeScript",,
obsidian-nostr-plugin,https://github.com/TsukemonoGit/obsidian-nostr-plugin/releases,,Obsidian ノート内の Nostr イベント識別子を自動検出し、リレーから内容を取得・表示・保存するプラグイン。,https://github.com/TsukemonoGit/obsidian-nostr-plugin,Dec.2025,ライブラリ・コンポーネント,プラグイン,Nostr,,
Recolla,https://github.com/TsukemonoGit/Recolla/releases,,シンプルで使いやすい Android 録音アプリ。ユーザーが指定したフォルダへ直接保存でき、クラウド同期を持たない軽量設計です。,https://github.com/TsukemonoGit/Recolla,Feb.2026,アプリケーション,Androidアプリ,Kotlin,,
ファンズっちWindowsマウスカーソル等,https://github.com/TsukemonoGit/TsukemonoGit.github.io/releases/tag/1.0,,マウスカーソルとしめじスキン,,Aug.2022,アプリケーション,デスクトップアプリ,"Cursor, デスクトップマスコット",https://tsukemonogit.github.io/Freest2022/images/cursor_view/fanz_wait3.gif,
yoyuboo,https://github.com/TsukemonoGit/yoyubo/releases,,家計の「普通じゃない月」を記録するアプリ\nFlutterなのでウェブ版やios版も考え中,https://github.com/TsukemonoGit/yoyubo,May.2026,アプリケーション,マルチプラットフォームアプリ,"Flutter, Dart, Kotlin",,true
